filename,A11,A12,A21,A22,B1,B2,obstacle_center_x,obstacle_center_y,radius
scenario_0_0.npz,-0.9278988149576027,-1.902569561165444,1.9146444800155376,-0.74256609455398,-0.033626143603856,0.7877553455574317,3,5,0.7
scenario_0_1.npz,-0.9278988149576027,-1.902569561165444,1.9146444800155376,-0.74256609455398,-0.033626143603856,0.7877553455574317,5,9,0.7
scenario_0_2.npz,-0.9278988149576027,-1.902569561165444,1.9146444800155376,-0.74256609455398,-0.033626143603856,0.7877553455574317,3,3,0.7
scenario_0_3.npz,-0.9278988149576027,-1.902569561165444,1.9146444800155376,-0.74256609455398,-0.033626143603856,0.7877553455574317,-3,3,0.7
scenario_0_4.npz,-0.9278988149576027,-1.902569561165444,1.9146444800155376,-0.74256609455398,-0.033626143603856,0.7877553455574317,-6,8,0.7
scenario_0_5.npz,-0.9278988149576027,-1.902569561165444,1.9146444800155376,-0.74256609455398,-0.033626143603856,0.7877553455574317,3,-5,0.7
scenario_0_6.npz,-0.9278988149576027,-1.902569561165444,1.9146444800155376,-0.74256609455398,-0.033626143603856,0.7877553455574317,-3,-3,0.7
scenario_0_7.npz,-0.9278988149576027,-1.902569561165444,1.9146444800155376,-0.74256609455398,-0.033626143603856,0.7877553455574317,-3,-8,0.7
scenario_0_8.npz,-0.9278988149576027,-1.902569561165444,1.9146444800155376,-0.74256609455398,-0.033626143603856,0.7877553455574317,3,-3,0.7
scenario_0_9.npz,-0.9278988149576027,-1.902569561165444,1.9146444800155376,-0.74256609455398,-0.033626143603856,0.7877553455574317,-3,-3,0.7
scenario_1_0.npz,-1.2199666691555324,-1.8714457739373307,2.1378500821136335,-1.0768973635648724,0.0017528264913260509,1.1086681893155486,3,5,0.7
scenario_1_1.npz,-1.2199666691555324,-1.8714457739373307,2.1378500821136335,-1.0768973635648724,0.0017528264913260509,1.1086681893155486,5,9,0.7
scenario_1_2.npz,-1.2199666691555324,-1.8714457739373307,2.1378500821136335,-1.0768973635648724,0.0017528264913260509,1.1086681893155486,3,3,0.7
scenario_1_3.npz,-1.2199666691555324,-1.8714457739373307,2.1378500821136335,-1.0768973635648724,0.0017528264913260509,1.1086681893155486,-3,3,0.7
scenario_1_4.npz,-1.2199666691555324,-1.8714457739373307,2.1378500821136335,-1.0768973635648724,0.0017528264913260509,1.1086681893155486,-6,8,0.7
scenario_1_5.npz,-1.2199666691555324,-1.8714457739373307,2.1378500821136335,-1.0768973635648724,0.0017528264913260509,1.1086681893155486,3,-5,0.7
scenario_1_6.npz,-1.2199666691555324,-1.8714457739373307,2.1378500821136335,-1.0768973635648724,0.0017528264913260509,1.1086681893155486,-3,-3,0.7
scenario_1_7.npz,-1.2199666691555324,-1.8714457739373307,2.1378500821136335,-1.0768973635648724,0.0017528264913260509,1.1086681893155486,-3,-8,0.7
scenario_1_8.npz,-1.2199666691555324,-1.8714457739373307,2.1378500821136335,-1.0768973635648724,0.0017528264913260509,1.1086681893155486,3,-3,0.7
scenario_1_9.npz,-1.2199666691555324,-1.8714457739373307,2.1378500821136335,-1.0768973635648724,0.0017528264913260509,1.1086681893155486,-3,-3,0.7
scenario_2_0.npz,-0.795442946115251,-1.987650920348876,1.815773770161183,-0.9334369363572362,0.007209335877378409,1.0389666761302925,3,5,0.7
scenario_2_1.npz,-0.795442946115251,-1.987650920348876,1.815773770161183,-0.9334369363572362,0.007209335877378409,1.0389666761302925,5,9,0.7
scenario_2_2.npz,-0.795442946115251,-1.987650920348876,1.815773770161183,-0.9334369363572362,0.007209335877378409,1.0389666761302925,3,3,0.7
scenario_2_3.npz,-0.795442946115251,-1.987650920348876,1.815773770161183,-0.9334369363572362,0.007209335877378409,1.0389666761302925,-3,3,0.7
scenario_2_4.npz,-0.795442946115251,-1.987650920348876,1.815773770161183,-0.9334369363572362,0.007209335877378409,1.0389666761302925,-6,8,0.7
scenario_2_5.npz,-0.795442946115251,-1.987650920348876,1.815773770161183,-0.9334369363572362,0.007209335877378409,1.0389666761302925,3,-5,0.7
scenario_2_6.npz,-0.795442946115251,-1.987650920348876,1.815773770161183,-0.9334369363572362,0.007209335877378409,1.0389666761302925,-3,-3,0.7
scenario_2_7.npz,-0.795442946115251,-1.987650920348876,1.815773770161183,-0.9334369363572362,0.007209335877378409,1.0389666761302925,-3,-8,0.7
scenario_2_8.npz,-0.795442946115251,-1.987650920348876,1.815773770161183,-0.9334369363572362,0.007209335877378409,1.0389666761302925,3,-3,0.7
scenario_2_9.npz,-0.795442946115251,-1.987650920348876,1.815773770161183,-0.9334369363572362,0.007209335877378409,1.0389666761302925,-3,-3,0.7
scenario_3_0.npz,-1.2088956720659356,-1.7958663960825927,2.2867484881030555,-0.8667370034043969,0.12922009604631746,0.9028306680387977,3,5,0.7
scenario_3_1.npz,-1.2088956720659356,-1.7958663960825927,2.2867484881030555,-0.8667370034043969,0.12922009604631746,0.9028306680387977,5,9,0.7
scenario_3_2.npz,-1.2088956720659356,-1.7958663960825927,2.2867484881030555,-0.8667370034043969,0.12922009604631746,0.9028306680387977,3,3,0.7
scenario_3_3.npz,-1.2088956720659356,-1.7958663960825927,2.2867484881030555,-0.8667370034043969,0.12922009604631746,0.9028306680387977,-3,3,0.7
scenario_3_4.npz,-1.2088956720659356,-1.7958663960825927,2.2867484881030555,-0.8667370034043969,0.12922009604631746,0.9028306680387977,-6,8,0.7
scenario_3_5.npz,-1.2088956720659356,-1.7958663960825927,2.2867484881030555,-0.8667370034043969,0.12922009604631746,0.9028306680387977,3,-5,0.7
scenario_3_6.npz,-1.2088956720659356,-1.7958663960825927,2.2867484881030555,-0.8667370034043969,0.12922009604631746,0.9028306680387977,-3,-3,0.7
scenario_3_7.npz,-1.2088956720659356,-1.7958663960825927,2.2867484881030555,-0.8667370034043969,0.12922009604631746,0.9028306680387977,-3,-8,0.7
scenario_3_8.npz,-1.2088956720659356,-1.7958663960825927,2.2867484881030555,-0.8667370034043969,0.12922009604631746,0.9028306680387977,3,-3,0.7
scenario_3_9.npz,-1.2088956720659356,-1.7958663960825927,2.2867484881030555,-0.8667370034043969,0.12922009604631746,0.9028306680387977,-3,-3,0.7
scenario_4_0.npz,-1.118861787002031,-2.3029361487698536,2.057122588901284,-0.9488871252027972,0.005097144643831004,1.1619505978658948,3,5,0.7
scenario_4_1.npz,-1.118861787002031,-2.3029361487698536,2.057122588901284,-0.9488871252027972,0.005097144643831004,1.1619505978658948,5,9,0.7
scenario_4_2.npz,-1.118861787002031,-2.3029361487698536,2.057122588901284,-0.9488871252027972,0.005097144643831004,1.1619505978658948,3,3,0.7
scenario_4_3.npz,-1.118861787002031,-2.3029361487698536,2.057122588901284,-0.9488871252027972,0.005097144643831004,1.1619505978658948,-3,3,0.7
scenario_4_4.npz,-1.118861787002031,-2.3029361487698536,2.057122588901284,-0.9488871252027972,0.005097144643831004,1.1619505978658948,-6,8,0.7
scenario_4_5.npz,-1.118861787002031,-2.3029361487698536,2.057122588901284,-0.9488871252027972,0.005097144643831004,1.1619505978658948,3,-5,0.7
scenario_4_6.npz,-1.118861787002031,-2.3029361487698536,2.057122588901284,-0.9488871252027972,0.005097144643831004,1.1619505978658948,-3,-3,0.7
scenario_4_7.npz,-1.118861787002031,-2.3029361487698536,2.057122588901284,-0.9488871252027972,0.005097144643831004,1.1619505978658948,-3,-8,0.7
scenario_4_8.npz,-1.118861787002031,-2.3029361487698536,2.057122588901284,-0.9488871252027972,0.005097144643831004,1.1619505978658948,3,-3,0.7
scenario_4_9.npz,-1.118861787002031,-2.3029361487698536,2.057122588901284,-0.9488871252027972,0.005097144643831004,1.1619505978658948,-3,-3,0.7
